cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,dataset,subject,pipeline,model_name
0.311,0.28888888888888886,0.2798500881834215,0.28888888888888886,0.2804385461020208,0.5262816353017521,0.053721044849679545,0.05415705316660328,eeg-mi,S012,time domain features -> wavelet,SVM
0.311,0.26666666666666666,0.2677922352844953,0.26666666666666666,0.2567228174658515,0.43608046722907207,0.02012537116463209,0.020627022608466647,eeg-mi,S042,time domain features -> wavelet,KNN
0.311,0.25555555555555554,0.2621626984126984,0.25555555555555554,0.24740800719748085,0.4841012329656068,0.016634050880626083,0.017162688651730665,eeg-mi,S052,time domain features -> wavelet,SVM
0.306,0.3263888888888889,0.3594052458381726,0.3263888888888889,0.32546468542653995,0.4487681326272162,0.11014843600688029,0.1127742460449797,BCICIV_II,A09T,time domain features -> wavelet,XGB
0.3,0.43333333333333335,0.4620568620568621,0.43333333333333335,0.4220164376686115,0.4042829331602856,0.25643933257735296,0.26951377044289,eeg-mi,S035,time domain features -> wavelet,SVM
0.3,0.43333333333333335,0.4381002377418148,0.43333333333333335,0.41302612639258596,0.3880597014925373,0.25280807423083185,0.26166892135001385,eeg-mi,S035,time domain features -> wavelet,KNN
0.3,0.3888888888888889,0.4154349567784103,0.3888888888888889,0.39132118527467363,0.5775470473718365,0.18719211822660087,0.1902934473179111,eeg-mi,S017,time domain features -> wavelet,KNN
0.3,0.35555555555555557,0.35788095238095236,0.35555555555555557,0.3175128425128425,0.47663854639844255,0.13432835820895528,0.14661934476738073,eeg-mi,S032,time domain features -> wavelet,KNN
0.3,0.28888888888888886,0.2733747733747734,0.28888888888888886,0.2739844175656532,0.5846852693056457,0.05449770190413672,0.05571049806728189,eeg-mi,S007,time domain features -> wavelet,KNN
0.3,0.26666666666666666,0.28345454545454546,0.26666666666666666,0.26177248677248677,0.3932511356262168,0.025910134470318202,0.02650380482135004,eeg-mi,S002,time domain features -> wavelet,SVM
0.3,0.28888888888888886,0.31264367816091954,0.28888888888888886,0.2525641025641025,0.5681375730045426,0.041916167664670656,0.04646012961474697,eeg-mi,S020,time domain features -> wavelet,KNN
0.299,0.2638888888888889,0.26627059011003756,0.2638888888888889,0.26380373343823216,0.5057100297914598,0.01662156938538839,0.01668297955930009,BCICIV_II,A02T,time domain features -> wavelet,SVM
0.299,0.24305555555555555,0.2605517410216119,0.24305555555555555,0.2502216610549943,0.404046673286991,-0.008027743882859095,-0.00806139800283824,BCICIV_II,A01T,time domain features -> wavelet,XGB
0.298,0.2708333333333333,0.2918820861678004,0.2708333333333333,0.271976656681978,0.4328804973520608,0.037310581943206356,0.03815925570840556,BCICIV_II,A06T,time domain features -> wavelet,XGB
0.289,0.26666666666666666,0.2695403386579857,0.26666666666666666,0.24433952147008103,0.5626216742375081,0.039145907473309705,0.04161214120554819,eeg-mi,S039,time domain features -> wavelet,KNN
0.289,0.2777777777777778,0.2602224333931651,0.2777777777777778,0.24285886818495514,0.44192083062946136,0.04707607102133893,0.050513172524525314,eeg-mi,S025,time domain features -> wavelet,KNN
0.289,0.23333333333333334,0.23327586206896556,0.23333333333333334,0.22845591626079434,0.4918883841661259,-0.027635280489823,-0.02801351522256618,eeg-mi,S033,time domain features -> wavelet,KNN
0.286,0.3125,0.31147693452380953,0.3125,0.3051543894226821,0.4103154501496662,0.08784951052530554,0.08928448223406817,BCICIV_II,A09T,time domain features -> wavelet,SVM
0.285,0.2847222222222222,0.283500231526409,0.2847222222222222,0.27760279514206954,0.38648399723693305,0.04782692431148494,0.048554428103265164,BCICIV_II,A09T,time domain features -> wavelet,KNN
0.279,0.2537878787878788,0.2521162656254298,0.2537878787878788,0.25228332164740214,0.49353481972544483,-0.005823423485372459,-0.005833549151988203,BCICIV_II,all,time domain features -> wavelet,KNN
0.278,0.4444444444444444,0.4679012345679013,0.4444444444444444,0.4508659079663533,0.47858533419857235,0.26108374384236444,0.2629403045710906,eeg-mi,S017,time domain features -> wavelet,SVM
0.278,0.4,0.4085375243664717,0.4,0.39764847071401543,0.5009733939000649,0.19907712590639415,0.2012716530227413,eeg-mi,S024,time domain features -> wavelet,KNN
0.278,0.35555555555555557,0.3583256224451877,0.35555555555555557,0.3523682666539809,0.49837767683322515,0.14271637378879942,0.14411327680370672,eeg-mi,S028,time domain features -> wavelet,SVM
0.278,0.32222222222222224,0.32660363223023076,0.32222222222222224,0.3150600077429345,0.4873458792991564,0.09911388250738429,0.10109500376961345,eeg-mi,S022,time domain features -> wavelet,KNN
0.278,0.3111111111111111,0.3317994505494506,0.3111111111111111,0.31415258477824753,0.5103828682673589,0.08793723439032375,0.08944424691239579,eeg-mi,S029,time domain features -> wavelet,SVM
0.278,0.32222222222222224,0.32265371622096767,0.32222222222222224,0.3037140581441657,0.6009085009733939,0.0910596026490067,0.09443808837084271,eeg-mi,S020,time domain features -> wavelet,SVM
0.278,0.3,0.2940220922677063,0.3,0.2962516291844619,0.5087605451005841,0.06342913776015857,0.06353408686695146,eeg-mi,S009,time domain features -> wavelet,SVM
0.278,0.25555555555555554,0.28107871304276955,0.25555555555555554,0.24867187680747002,0.3799480856586632,0.024429703931402647,0.025936796176658266,eeg-mi,S028,time domain features -> wavelet,KNN
0.278,0.2222222222222222,0.26336385836385834,0.2222222222222222,0.20891881043605182,0.4769630110317975,-0.0304219823356231,-0.03197145680750136,eeg-mi,S006,time domain features -> wavelet,KNN
0.275,0.2781954887218045,0.2821919632497265,0.2781954887218045,0.2768767460870618,0.4913262215641406,0.03885667261128922,0.03912858851543939,eeg-mi,all,time domain features -> wavelet,KNN
0.271,0.30176767676767674,0.31706978001460123,0.30176767676767674,0.30384902482282655,0.4963491666406079,0.07166384759191657,0.07242859968362457,BCICIV_II,all,time domain features -> wavelet,SVM
0.27,0.22916666666666666,0.2502844233312983,0.22916666666666666,0.21841512069640606,0.4272591857000993,-0.011133603238866474,-0.011833063720766996,BCICIV_II,A01T,time domain features -> wavelet,SVM
0.267,0.35555555555555557,0.37045040284287595,0.35555555555555557,0.33966422674808155,0.4412719013627514,0.14580265095729017,0.15038520662785987,eeg-mi,S026,time domain features -> wavelet,SVM
0.267,0.3,0.3102547211242863,0.3,0.3030087896784835,0.5408825438027255,0.0675875678342377,0.06788905828304027,eeg-mi,S025,time domain features -> wavelet,SVM
0.267,0.3,0.3099439775910364,0.3,0.2965781245925965,0.4516547696301103,0.07337800294165697,0.07483553269880769,eeg-mi,S029,time domain features -> wavelet,KNN
0.267,0.28888888888888886,0.26898615787504676,0.28888888888888886,0.2591851851851852,0.49805321219987025,0.054808007876599896,0.05757590782324197,eeg-mi,S021,time domain features -> wavelet,KNN
0.264,0.2222222222222222,0.22923360352222144,0.2222222222222222,0.2226344833160384,0.5486990559521068,-0.032059896333269444,-0.03238109740481402,BCICIV_II,A06T,time domain features -> wavelet,KNN
0.256,0.36666666666666664,0.3879776021080369,0.36666666666666664,0.37489691571829126,0.4227774172615185,0.15735873850197113,0.15824262246995763,eeg-mi,S034,time domain features -> wavelet,SVM
0.256,0.2,0.1769426289034132,0.2,0.18037927814804083,0.3429591174561972,-0.06264348966874378,-0.06474309567115877,eeg-mi,S031,time domain features -> wavelet,KNN
0.244,0.25555555555555554,0.2733333333333334,0.25555555555555554,0.24401024401024402,0.33971447112264763,0.007570770243581215,0.007883016529129726,eeg-mi,S003,time domain features -> wavelet,KNN
0.244,0.23333333333333334,0.20742640075973412,0.23333333333333334,0.20133312584292973,0.46398442569759896,0.001286587327114841,0.0014334019415738588,eeg-mi,S034,time domain features -> wavelet,KNN
0.243,0.3333333333333333,0.33855324589852775,0.3333333333333333,0.33439403048805666,0.534880834160874,0.11036746251367535,0.11074563622046701,BCICIV_II,A02T,time domain features -> wavelet,XGB
0.243,0.3194444444444444,0.3425647295399919,0.3194444444444444,0.32145600953501113,0.31901688182720955,0.09474629546475077,0.09644451522855244,BCICIV_II,A05T,time domain features -> wavelet,KNN
0.233,0.4,0.4116672507520503,0.4,0.3834827540090698,0.49772874756651525,0.19775503466490585,0.2058869087984782,eeg-mi,S024,time domain features -> wavelet,SVM
0.233,0.32222222222222224,0.3571111111111111,0.32222222222222224,0.3298814165042235,0.41888384166125886,0.09555189456342683,0.09670199621067675,eeg-mi,S008,time domain features -> wavelet,SVM
0.233,0.2777777777777778,0.2966580014967112,0.2777777777777778,0.2683751353692874,0.454574951330305,0.0487804878048782,0.05088072148560506,eeg-mi,S026,time domain features -> wavelet,KNN
0.233,0.25555555555555554,0.26560846560846557,0.25555555555555554,0.2532228553765773,0.4896171317326411,0.012931740055655672,0.013171478794212868,eeg-mi,S008,time domain features -> wavelet,KNN
0.233,0.2,0.21920302893987104,0.2,0.19376617131722323,0.6440622972096042,-0.047696038803556995,-0.05049141103217581,eeg-mi,S010,time domain features -> wavelet,SVM
