model_name,cross_val_score,Accuracy,Precision,Recall,F1_score,auc,kappa,mathew_coef,model_runtime,dataset,subject
Wavelet -> Time Domain Features => LDA,0.541,0.5678571428571428,0.5684473264371365,0.5678571428571428,0.5669235980621492,0.5678571428571428,0.13571428571428568,0.1363031915728207,0:00:02.265921,BCICIV_I,all
PSD -> Time Domain Features -> STD_Scaler => SVM,0.539,0.525,0.5259657675798844,0.525,0.5205417723474657,0.525,0.050000000000000044,0.050956616429944084,0:00:00.678159,BCICIV_I,all
STD_Scaler => SVM,0.538,0.525,0.5266666666666666,0.525,0.5174603174603176,0.525,0.050000000000000044,0.051639777949432225,0:00:00.129610,BCICIV_I,BCICIV_calib_ds1b
bandpass -> PSD => KNN,0.538,0.5,0.5,0.5,0.48849104859335035,0.5,0.0,0.0,0:00:00.049695,BCICIV_I,BCICIV_calib_ds1c
 => LDA,0.538,0.375,0.37468671679197996,0.375,0.37460913070669166,0.375,-0.25,-0.25031308716087947,0:00:48.417030,BCICIV_I,BCICIV_calib_ds1d
PSD -> Time Domain Features -> STD_Scaler => XGB,0.535,0.4722222222222222,0.4801587301587301,0.4722222222222222,0.4644625603864735,0.4670781893004115,0.2962962962962963,0.3022636463752416,0:00:01.159585,eeg-mi,S004
bandpass -> PSD => KNN,0.534,0.5321428571428571,0.532623893117912,0.5321428571428571,0.5304118498034848,0.5321428571428571,0.06428571428571428,0.0647649638595711,0:00:00.269727,BCICIV_I,all
 => LDA,0.531,0.55,0.5505050505050505,0.55,0.5488721804511277,0.5499999999999999,0.09999999999999998,0.10050378152592121,0:00:55.615258,BCICIV_I,BCICIV_calib_ds1g
PSD -> Time Domain Features -> STD_Scaler => SVM,0.53,0.6206896551724138,0.6415607985480943,0.6206896551724138,0.6114942528735633,0.6261904761904763,0.24941176470588233,0.2653318723905322,0:00:00.016191,BCICIV_II,A04T
bandpass -> PSD => SVM,0.53,0.4827586206896552,0.23305588585017836,0.4827586206896552,0.3143544506816359,0.5,0.0,0.0,0:00:00.034264,BCICIV_II,A04T
 => LDA,0.526,0.5689655172413793,0.6246701947566686,0.5689655172413793,0.579375694960512,0.42015503875968996,0.42437475188566887,0.42970250443999986,0:00:08.551655,BCICIV_II,A05T
STD_Scaler => LDA,0.525,0.55,0.5505050505050505,0.55,0.5488721804511277,0.5499999999999999,0.09999999999999998,0.10050378152592121,0:00:54.432034,BCICIV_I,BCICIV_calib_ds1g
STD_Scaler => KNN,0.525,0.45,0.45,0.45,0.45,0.45,-0.10000000000000009,-0.1,0:00:00.087664,BCICIV_I,BCICIV_calib_ds1c
PSD -> Time Domain Features -> STD_Scaler => LDA,0.524,0.5107142857142857,0.5108074725953373,0.5107142857142857,0.5096572969794583,0.5107142857142858,0.021428571428571463,0.021521556564129584,0:00:02.238357,BCICIV_I,all
STD_Scaler => SVM,0.524,0.4928571428571429,0.4928571428571429,0.4928571428571429,0.4928571428571429,0.4928571428571429,-0.014285714285714235,-0.014285714285714285,0:00:01.365246,BCICIV_I,all
Wavelet => LDA,0.522,0.5862068965517241,0.621264367816092,0.5862068965517241,0.5878669487468536,0.4224806201550388,0.4469606674612635,0.4525816476183367,0:00:01.165579,BCICIV_II,A05T
Wavelet => LDA,0.522,0.5862068965517241,0.621264367816092,0.5862068965517241,0.5878669487468536,0.4224806201550388,0.4469606674612635,0.4525816476183367,0:00:01.165579,BCICIV_II,A05T
